word,Time_s,F0_Hz
your,0.855359,--undefined--
your,0.860531,--undefined--
your,0.865704,--undefined--
your,0.870876,--undefined--
your,0.876049,--undefined--
your,0.881221,--undefined--
your,0.886393,--undefined--
your,0.891566,--undefined--
your,0.896738,--undefined--
your,0.901911,--undefined--
your,0.907083,201.637754
your,0.912255,201.747
your,0.917428,201.668353
your,0.9226,201.163189
your,0.927773,201.590224
your,0.932945,201.824469
your,0.938118,205.732131
your,0.94329,204.138771
your,0.948462,205.584732
your,0.953635,206.650848
your,0.958807,204.915833
your,0.96398,203.664118
your,0.969152,212.283563
your,0.974324,211.696634
your,0.979497,220.130298
your,0.984669,228.913738
your,0.989842,236.156487
your,0.995014,240.378671
your,1.000186,243.634803
your,1.005359,247.372036
your,1.010531,248.108754
your,1.015704,249.589812
your,1.020876,250.187447
your,1.026049,249.891064
your,1.031221,248.800456
your,1.036393,247.526029
your,1.041566,245.628002
your,1.046738,244.319798
your,1.051911,243.687998
your,1.057083,243.281827
your,1.062255,242.195299
your,1.067428,241.03271
your,1.0726,240.453055
your,1.077773,240.492136
your,1.082945,241.020957
your,1.088118,242.760646
your,1.09329,242.779009
your,1.098462,241.4666
your,1.103635,241.349332
your,1.108807,240.66703
your,1.11398,241.101792
your,1.119152,241.3656
your,1.124324,241.200252
your,1.129497,241.539463
your,1.134669,239.42462
your,1.139842,237.842819
your,1.145014,234.690244
your,1.150186,229.265092
your,1.155359,214.893012
your,1.160531,197.451882
your,1.165704,197.352982
your,1.170876,193.503513
your,1.176049,194.671663
your,1.181221,195.44268
your,1.186393,196.131723
your,1.191566,--undefined--
your,1.196738,--undefined--
your,1.201911,--undefined--
your,1.207083,--undefined--
your,1.212255,--undefined--
good,1.217428,--undefined--
good,1.2226,--undefined--
good,1.227773,--undefined--
good,1.232945,--undefined--
good,1.238118,--undefined--
good,1.24329,--undefined--
good,1.248462,--undefined--
good,1.253635,--undefined--
good,1.258807,--undefined--
good,1.26398,--undefined--
good,1.269152,252.316475
good,1.274324,239.475415
good,1.279497,243.701316
good,1.284669,245.319652
good,1.289842,246.066383
good,1.295014,248.393381
good,1.300186,251.367185
good,1.305359,252.417839
good,1.310531,254.22777
good,1.315704,255.380007
good,1.320876,259.763346
good,1.326049,263.01592
good,1.331221,264.634637
good,1.336393,264.763148
good,1.341566,265.23546
good,1.346738,263.665957
good,1.351911,261.007425
good,1.357083,253.14262
