Word,Times_s,Intensity_dB
your,0.851738,16.567533
your,0.857255,31.641937
your,0.862773,41.207169
your,0.86829,46.01696
your,0.873807,47.299458
your,0.879324,45.974337
your,0.884842,42.817376
your,0.890359,43.445584
your,0.895876,52.217076
your,0.901393,58.232747
your,0.906911,61.112986
your,0.912428,62.139287
your,0.917945,62.466294
your,0.923462,62.36135
your,0.92898,61.908845
your,0.934497,61.464081
your,0.940014,61.19758
your,0.945531,61.306772
your,0.951049,61.615966
your,0.956566,61.79484
your,0.962083,62.230194
your,0.9676,62.997454
your,0.973118,64.22069
your,0.978635,65.752865
your,0.984152,67.227145
your,0.989669,68.908708
your,0.995186,70.528924
your,1.000704,71.620048
your,1.006221,72.302532
your,1.011738,72.820043
your,1.017255,73.245015
your,1.022773,73.527594
your,1.02829,73.542443
your,1.033807,73.37732
your,1.039324,73.194198
your,1.044842,72.98725
your,1.050359,72.832261
your,1.055876,72.752542
your,1.061393,72.619472
your,1.066911,72.429923
your,1.072428,72.239072
your,1.077945,71.965425
your,1.083462,71.562663
your,1.08898,71.201551
your,1.094497,71.054294
your,1.100014,70.965565
your,1.105531,70.657527
your,1.111049,70.136147
your,1.116566,69.842915
your,1.122083,69.722289
your,1.1276,69.459554
your,1.133118,68.99839
your,1.138635,68.434656
your,1.144152,67.519599
your,1.149669,65.454119
your,1.155186,61.77266
your,1.160704,57.575314
your,1.166221,55.20962
your,1.171738,53.955557
your,1.177255,53.025601
your,1.182773,52.010337
your,1.18829,50.191029
your,1.193807,47.065277
your,1.199324,42.851149
your,1.204842,38.290193
your,1.210359,32.861765
good,1.221393,19.856444
good,1.226911,22.557843
good,1.232428,34.714104
good,1.237945,48.181775
good,1.243462,56.050397
good,1.24898,61.754912
good,1.254497,65.718926
good,1.260014,66.033737
good,1.265531,63.955286
good,1.271049,66.144115
good,1.276566,69.608114
good,1.282083,71.842875
good,1.2876,72.879232
good,1.293118,73.058761
good,1.298635,72.858894
good,1.304152,72.509728
good,1.309669,72.17146
good,1.315186,71.985145
good,1.320704,71.894684
good,1.326221,71.933593
good,1.331738,72.029474
good,1.337255,72.162934
good,1.342773,72.286621
good,1.34829,72.105603
good,1.353807,71.56557
good,1.359324,70.764825
good,1.364842,69.666108
good,1.370359,68.146693
good,1.375876,66.258588
good,1.381393,64.206801
good,1.386911,61.415713
good,1.392428,58.148619
good,1.397945,55.000033
good,1.403462,50.084586
good,1.40898,44.067658
good,1.414497,39.077264
good,1.420014,34.072602
good,1.425531,27.784588
pants,1.524842,35.25809
pants,1.530359,46.434425
pants,1.535876,54.233817
pants,1.541393,58.60926
pants,1.546911,60.073607
pants,1.552428,60.132849
pants,1.557945,60.689297
pants,1.563462,62.735151
pants,1.56898,64.56475
pants,1.574497,65.720679
pants,1.580014,66.661254
pants,1.585531,67.325071
pants,1.591049,67.958677
pants,1.596566,68.582168
pants,1.602083,68.993968
pants,1.6076,69.187943
pants,1.613118,69.044829
pants,1.618635,68.742297
pants,1.624152,68.43568
pants,1.629669,68.046023
pants,1.635186,67.769819
pants,1.640704,67.570668
pants,1.646221,67.39617
pants,1.651738,67.281498
pants,1.657255,67.060044
pants,1.662773,66.701858
pants,1.66829,66.332235
pants,1.673807,66.232274
pants,1.679324,66.134184
pants,1.684842,65.874411
pants,1.690359,65.711087
pants,1.695876,65.629254
pants,1.701393,65.578015
pants,1.706911,65.557009
pants,1.712428,65.461834
pants,1.717945,65.304871
pants,1.723462,65.277437
pants,1.72898,65.277267
pants,1.734497,65.22812
pants,1.740014,65.079744
pants,1.745531,64.857501
pants,1.751049,64.444085
pants,1.756566,63.849731
